Category	Filtered keyword	Lvl 1	Lvl 2	Biofilm flag
DATA_env_broad_scale	Blank	Unknown		
DATA_env_broad_scale	blank	Unknown		
DATA_env_broad_scale	Blicca_bjoerkna			
DATA_env_broad_scale	blood	Animal-associated	Other	
DATA_env_broad_scale	blood metagenomes	Animal-associated	Other	
DATA_env_broad_scale	blood plasma	Animal-associated	Other	
DATA_env_broad_scale	bodily fluid material biome [ENVO:02000019]	Animal-associated	Other	
DATA_env_broad_scale	body	Animal-associated	Other	
DATA_env_broad_scale	Bogs, mires and fens	Terrestrial	Soil	
DATA_env_broad_scale	bone element [UBERON:0001474]| archeological site [ENVO:00000564]	Fossil	Other	
DATA_env_broad_scale	bone element environment	Fossil	Other	
DATA_env_broad_scale	Boreal Cordillera	Terrestrial	Soil	
DATA_env_broad_scale	boreal peatlands	Terrestrial	Soil	
DATA_env_broad_scale	Boreal Plains	Terrestrial	Soil	
DATA_env_broad_scale	Boreal_Plains	Terrestrial	Soil	
DATA_env_broad_scale	Boreal_Shield	Terrestrial	Soil	
DATA_env_broad_scale	borehole			
DATA_env_broad_scale	Bos indicus gut	Mammals-associated	Digestive system	
DATA_env_broad_scale	Bos taurus	Mammals-associated		
DATA_env_broad_scale	Bos taurus x Bison bison	Mammals-associated		
DATA_env_broad_scale	Bos_frontalis	Mammals-associated		
DATA_env_broad_scale	Bos_taurus	Mammals-associated		
DATA_env_broad_scale	botanical garden [ENVO:00010624]	Terrestrial	Soil	
DATA_env_broad_scale	Bovine digital dermatitis lesions	Mammals-associated		
DATA_env_broad_scale	brackish lagoon	Aquatic	Other	
DATA_env_broad_scale	brackish sediment	Aquatic	Sediment	
DATA_env_broad_scale	Brackish water	Aquatic	Other	
DATA_env_broad_scale	brackish water body [ENVO:01001321]|brackish water [ENVO:00002019]	Aquatic	Other	
DATA_env_broad_scale	Brackish water river	Aquatic	Other	
DATA_env_broad_scale	Bradypus_variegatus			
DATA_env_broad_scale	brain	Animal-associated		
DATA_env_broad_scale	Brain 1	Animal-associated		
DATA_env_broad_scale	Brain 10	Animal-associated		
DATA_env_broad_scale	Brain 11	Animal-associated		
DATA_env_broad_scale	Brain 2	Animal-associated		
DATA_env_broad_scale	Brain 3	Animal-associated		
DATA_env_broad_scale	Brain 4	Animal-associated		
DATA_env_broad_scale	Brain 5	Animal-associated		
DATA_env_broad_scale	Brain 6	Animal-associated		
DATA_env_broad_scale	Brain 7	Animal-associated		
DATA_env_broad_scale	Brain 8	Animal-associated		
DATA_env_broad_scale	Brain 9	Animal-associated		
DATA_env_broad_scale	Brain tissue	Animal-associated		
DATA_env_broad_scale	Brain,liver,lungs	Animal-associated		
DATA_env_broad_scale	Branta_leucopsis			
DATA_env_broad_scale	Brassica oleracea	Plants-associated	Other	
DATA_env_broad_scale	Breastmilk microbiota from mothers who had administered postpartum antibiotics			
DATA_env_broad_scale	Breastmilk microbiota from mothers who had not administered postpartum antibiotics			
DATA_env_broad_scale	Broiler chicken	Birds-associated	Other	
DATA_env_broad_scale	Broiler Chicken	Birds-associated	Other	
DATA_env_broad_scale	broiler gut	Birds-associated	Digestive system	
DATA_env_broad_scale	Bufo_bufo	Animal-associated		
DATA_env_broad_scale	Bufo_viridis	Animal-associated		
DATA_env_broad_scale	built environment	Engineered	Other	
DATA_env_broad_scale	built-environment	Engineered	Other	
DATA_env_broad_scale	built-in air-conditioner	Engineered	Other	
DATA_env_broad_scale	bulk soil	Terrestrial	Soil	
DATA_env_broad_scale	bulk soil [ENVO: 00005802]	Terrestrial	Soil	
DATA_env_broad_scale	Caatinga			
DATA_env_broad_scale	cabbage			
DATA_env_broad_scale	caecal contents		Digestive system	
DATA_env_broad_scale	Calcite deposits			
DATA_env_broad_scale	Calyophus hartwegii			
DATA_env_broad_scale	Camel rumen	Mammals-associated	Digestive system	
DATA_env_broad_scale	Camelus_bactrianus	Mammals-associated		
DATA_env_broad_scale	Camelus_dromedarius	Mammals-associated		
DATA_env_broad_scale	Canine gut	Mammals-associated	Digestive system	
DATA_env_broad_scale	Canine Gut	Mammals-associated	Digestive system	
DATA_env_broad_scale	Canine microbiome	Mammals-associated		
DATA_env_broad_scale	Canis_lupus	Mammals-associated		
DATA_env_broad_scale	Capra_hircus	Mammals-associated		
DATA_env_broad_scale	Capra_ibex	Mammals-associated		
DATA_env_broad_scale	Capreolus_capreolus			
DATA_env_broad_scale	Caprimulgus_europaeus			
DATA_env_broad_scale	Carassius_gibelio			
DATA_env_broad_scale	Carduelis_chloris			
DATA_env_broad_scale	Caribbean Sea	Aquatic	Marine	
DATA_env_broad_scale	Castor_fiber	Mammals-associated		
DATA_env_broad_scale	cave [ENVO:00000067]			
DATA_env_broad_scale	Cave in Switzerland			
DATA_env_broad_scale	Cave stones			
DATA_env_broad_scale	Cave stream			
DATA_env_broad_scale	cave stream			
DATA_env_broad_scale	cave system			
DATA_env_broad_scale	cecum			
DATA_env_broad_scale	cell culture			
DATA_env_broad_scale	cell culturing			
DATA_env_broad_scale	Ceratotherium_simum			
DATA_env_broad_scale	Cervus_elaphus			
DATA_env_broad_scale	Cervus_unicolor			
DATA_env_broad_scale	chaparral			
DATA_env_broad_scale	cheese	Engineered	Food production	
DATA_env_broad_scale	chemostat culture	Engineered	Bioreactor	
DATA_env_broad_scale	Chemostat evolution experiment	Engineered	Bioreactor	
DATA_env_broad_scale	Chicken	Birds-associated	Other	
DATA_env_broad_scale	chicken	Birds-associated	Other	
DATA_env_broad_scale	chicken gut	Birds-associated	Digestive system	
DATA_env_broad_scale	chicken gut biome	Birds-associated	Digestive system	
DATA_env_broad_scale	chimpanzee gut	Mammals-associated	Digestive system	
DATA_env_broad_scale	Chlorocebus_pygerythrus			
DATA_env_broad_scale	Choloepus_didactylus			
DATA_env_broad_scale	Choloepus_hoffmanni			
DATA_env_broad_scale	Chondrostoma_nasus			
DATA_env_broad_scale	Chrysanthemum sp.			
DATA_env_broad_scale	Chrysococcyx_basalis			
DATA_env_broad_scale	Ciconia_ciconia			
DATA_env_broad_scale	Circus_aeruginosus			
DATA_env_broad_scale	Cirsium sp.			
DATA_env_broad_scale	citrus biome	Plants-associated		
DATA_env_broad_scale	city	Engineered	Other	
DATA_env_broad_scale	City	Engineered	Other	
DATA_env_broad_scale	city ENVO:00001021	Engineered	Other	
DATA_env_broad_scale	clayey soil	Terrestrial	Soil	
DATA_env_broad_scale	Clinical environment			
DATA_env_broad_scale	coal bed			
DATA_env_broad_scale	coastal	Aquatic	Marine	
DATA_env_broad_scale	Coastal	Aquatic	Marine	
DATA_env_broad_scale	Coastal biome	Aquatic	Marine	
DATA_env_broad_scale	Coastal Biome	Aquatic	Marine	
DATA_env_broad_scale	coastal marine	Aquatic	Marine	
DATA_env_broad_scale	coastal marine estuary	Aquatic	Marine	
DATA_env_broad_scale	Coastal Sea area	Aquatic	Marine	
DATA_env_broad_scale	coastal seawater [ENVO:00002150]	Aquatic	Marine	
DATA_env_broad_scale	Coastal tropical forest biome	Terrestrial	Wetlands	
DATA_env_broad_scale	coastal water	Aquatic	Marine	
DATA_env_broad_scale	coastal wetland ecosystem [ENVO:00000230]	Terrestrial	Wetlands	
DATA_env_broad_scale	cold freshwater biome	Aquatic	Freshwater	
DATA_env_broad_scale	cold freshwater sediment biome	Aquatic	Freshwater	
DATA_env_broad_scale	cold marine sediment biome	Aquatic	Marine	
DATA_env_broad_scale	cold marine water biome	Aquatic	Marine	
DATA_env_broad_scale	Cold seep	Aquatic	Deep_subsurface	
DATA_env_broad_scale	cold seep	Aquatic	Deep_subsurface	
DATA_env_broad_scale	colon contents		Digestive system	
DATA_env_broad_scale	commercial food enzyme product	Engineered	Food production	
DATA_env_broad_scale	Common Effluent Treatment Plant	Engineered	Wastewater	
DATA_env_broad_scale	community birth cohort study	Human-associated	Other	
DATA_env_broad_scale	compost [ENVO:00002170]	Engineered	Bioreactor	
DATA_env_broad_scale	Connochaetes_taurinus			
DATA_env_broad_scale	contaminated soil	Terrestrial	Soil	
DATA_env_broad_scale	Continental hydrothermal system	Aquatic	Thermal_springs	
DATA_env_broad_scale	continuous culture	Engineered	Bioreactor	
DATA_env_broad_scale	coprolite 1	Fossil	Other	
DATA_env_broad_scale	coprolite 10	Fossil	Other	
DATA_env_broad_scale	coprolite 11	Fossil	Other	
DATA_env_broad_scale	coprolite 3	Fossil	Other	
DATA_env_broad_scale	coprolite 4	Fossil	Other	
DATA_env_broad_scale	coprolite 5	Fossil	Other	
DATA_env_broad_scale	coprolite 6	Fossil	Other	
DATA_env_broad_scale	coprolite 9	Fossil	Other	
DATA_env_broad_scale	coral mucus	Animal-associated		
DATA_env_broad_scale	coral reef	Animal-associated		
DATA_env_broad_scale	Coral Reef	Animal-associated		
DATA_env_broad_scale	Coral reef	Animal-associated		
DATA_env_broad_scale	coral reef biome	Animal-associated		
DATA_env_broad_scale	Cornus			
DATA_env_broad_scale	Cornus stolonifera			
DATA_env_broad_scale	Corvus_frugilegus			
DATA_env_broad_scale	costal lagoon periodically connected to the Atlantic Ocean	Aquatic	Marine	
DATA_env_broad_scale	costal lagoon periodicay coneccted to the Atlantic Ocean	Aquatic	Marine	
DATA_env_broad_scale	cotton rat metagenome	Mammals-associated		
DATA_env_broad_scale	Country side			
DATA_env_broad_scale	cow 103	Mammals-associated		
DATA_env_broad_scale	cow 114	Mammals-associated		
DATA_env_broad_scale	cow 137	Mammals-associated		
DATA_env_broad_scale	cow 143	Mammals-associated		
DATA_env_broad_scale	cow 156	Mammals-associated		
DATA_env_broad_scale	cow 158	Mammals-associated		
DATA_env_broad_scale	cow 163	Mammals-associated		
DATA_env_broad_scale	cow 203	Mammals-associated		
DATA_env_broad_scale	cow 205	Mammals-associated		
DATA_env_broad_scale	cow 228	Mammals-associated		
DATA_env_broad_scale	cow 233	Mammals-associated		
DATA_env_broad_scale	Craibstone Estate			
DATA_env_broad_scale	Crataegus sp.			
DATA_env_broad_scale	Cricetus_cricetus			
DATA_env_broad_scale	Crocodylus_niloticus			
DATA_env_broad_scale	Crohn&apos;s disease			
DATA_env_broad_scale	crop vegetable	Plants-associated		
DATA_env_broad_scale	cropland	Terrestrial	Soil	
DATA_env_broad_scale	cropland biome	Terrestrial	Soil	
DATA_env_broad_scale	cropland soil	Terrestrial	Soil	
DATA_env_broad_scale	cropping			
DATA_env_broad_scale	CSF			
DATA_env_broad_scale	cultivated environment	Engineered	Bioreactor	
DATA_env_broad_scale	Cultivated environment	Engineered	Bioreactor	
DATA_env_broad_scale	culture	Engineered	Bioreactor	
DATA_env_broad_scale	Culture tanks	Engineered	Bioreactor	
DATA_env_broad_scale	cultured bacteria	Engineered	Bioreactor	
DATA_env_broad_scale	Cultured Daphnia magna, clone 8A	Engineered	Bioreactor	
DATA_env_broad_scale	cultured habitat	Engineered	Bioreactor	
DATA_env_broad_scale	culturing environment [ENVO:01000312]	Engineered	Bioreactor	
DATA_env_broad_scale	Currency			
DATA_env_broad_scale	Cygnus_olor			
DATA_env_broad_scale	Cyprinus carpio			
DATA_env_broad_scale	Cyprinus_carpio			
DATA_env_broad_scale	Dairy Farm	Engineered	Food production	
DATA_env_broad_scale	Dairy farm	Engineered	Food production	
DATA_env_broad_scale	Dairy processing facility	Engineered	Food production	
DATA_env_broad_scale	Dama_dama			
DATA_env_broad_scale	Dechlorinating consortium			
DATA_env_broad_scale	Deciduous woodland			
DATA_env_broad_scale	Deciduous_woodland			
DATA_env_broad_scale	deep biosphere	Aquatic	Deep_subsurface	
DATA_env_broad_scale	deep biosphere and ancient DNA	Aquatic	Deep_subsurface	
DATA_env_broad_scale	deep marine sediment [ENVO:00002113]	Aquatic	Sediment	
DATA_env_broad_scale	Deep sea	Aquatic	Marine	
DATA_env_broad_scale	deep sea	Aquatic	Marine	
DATA_env_broad_scale	deep sea sediment biome	Aquatic	Sediment	
DATA_env_broad_scale	Deep sea water	Aquatic	Deep_subsurface	
DATA_env_broad_scale	deep subsurface	Aquatic	Deep_subsurface	
DATA_env_broad_scale	Deep subsurface	Aquatic	Deep_subsurface	
DATA_env_broad_scale	deep-sea biome	Aquatic	Marine	
DATA_env_broad_scale	deep-sea coral community	Animal-associated	Other	
DATA_env_broad_scale	deep-sea hydrothermal plumes	Aquatic	Thermal_springs	
DATA_env_broad_scale	deep-sea hydrothermal vent fields	Aquatic	Thermal_springs	
DATA_env_broad_scale	Delichon_urbicum			
DATA_env_broad_scale	dense settlement			
DATA_env_broad_scale	dense settlement biome			
DATA_env_broad_scale	dense settlement biome [ENVO: 01000248]			
DATA_env_broad_scale	dense settlement biome [ENVO:01000248]			
DATA_env_broad_scale	dental calculus	Animal-associated		
DATA_env_broad_scale	dentin			
DATA_env_broad_scale	desert	Terrestrial	Soil	
DATA_env_broad_scale	Desert	Terrestrial	Soil	
DATA_env_broad_scale	Desert and Xeric Shrubland	Terrestrial	Soil	
DATA_env_broad_scale	desert biome	Terrestrial	Soil	
DATA_env_broad_scale	Desert biome	Terrestrial	Soil	
DATA_env_broad_scale	desert biome [ENVO:01000179]	Terrestrial	Soil	
DATA_env_broad_scale	desert grassland biome	Terrestrial	Soil	
DATA_env_broad_scale	Desert Rocks Biome	Terrestrial	Soil	
DATA_env_broad_scale	Desert soil biome	Terrestrial	Soil	
DATA_env_broad_scale	Desert Springs	Terrestrial	Soil	
DATA_env_broad_scale	Deserts	Terrestrial	Soil	
DATA_env_broad_scale	Didelphis_marsupialis			
DATA_env_broad_scale	digestate			
DATA_env_broad_scale	digested sludge	Engineered	Wastewater	
DATA_env_broad_scale	Digestive track [UBERON:0001555]		Digestive system	
DATA_env_broad_scale	digestive tract		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 1		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 10		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 11		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 12		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 13		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 14		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 15		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 16		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 17		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 18		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 19		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 2		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 20		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 21		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 22		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 23		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 24		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 25		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 26		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 27		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 28		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 29		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 3		Digestive system	
DATA_env_broad_scale	digestive tract enviroment 30		Digestive system	
